split,method,seed,episodes,success,task_success_rate,future_regret,commitment_violation,base_collision,arm_collision,swing_block,approach_occlusion,reposition_count,path_length,risk_proxy
aggregate_hard_regime,spatial_commitment_tree_search_v5,0,60,0.40000,0.45000,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.40000,1.18151,0.60921
aggregate_hard_regime,spatial_commitment_tree_search_v5,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.07797,0.62540
aggregate_hard_regime,spatial_commitment_tree_search_v5,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.48333,1.16074,0.60963
aggregate_hard_regime,spatial_commitment_tree_search_v5,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.48333,1.22957,0.62548
aggregate_hard_regime,spatial_commitment_tree_search_v5,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.43333,1.18755,0.60925
aggregate_hard_regime,spatial_commitment_tree_search_v5,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.36667,1.10595,0.60934
aggregate_hard_regime,spatial_commitment_tree_search_v5,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.50000,1.25704,0.60955
aggregate_hard_regime,spatial_commitment_tree_search_v5,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.30064,0.60966
aggregate_hard_regime,exact_sequence_oracle,0,60,0.40000,0.45000,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.43333,1.20407,0.60941
aggregate_hard_regime,exact_sequence_oracle,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.09125,0.62540
aggregate_hard_regime,exact_sequence_oracle,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.50000,1.17190,0.60973
aggregate_hard_regime,exact_sequence_oracle,3,60,0.38333,0.47139,0.61667,0.08333,0.00000,0.00000,0.00000,0.00000,1.48333,1.23776,0.62548
aggregate_hard_regime,exact_sequence_oracle,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.46667,1.20076,0.60945
aggregate_hard_regime,exact_sequence_oracle,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.40000,1.12180,0.60954
aggregate_hard_regime,exact_sequence_oracle,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.50000,1.26944,0.60955
aggregate_hard_regime,exact_sequence_oracle,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.31799,0.60966
